优先级,类别,物品,规格建议,建议数量,用途,采购备注,单价,总价,链接
P0,主控,ESP32-S3 开发板,"ESP32-S3-WROOM, USB-C, GPIO 足够",2,"主控、WiFi、I2S、I2C","1 块装机，1 块备用",,,
P0,传感器,BMI270 IMU 模块,"Qwiic/STEMMA QT 或焊盘版",2,"跌倒检测、姿态采集","优先选带连接器版本",,,
P0,供电,锂电池/18650 电池组,"1S, 5000-10000mAh, 带保护, 持续放电 >=2A",2,"系统主电源","不买无保护裸电芯",,,
P0,供电,5V 电源管理/升压模块,"5V 输出, 持续 >=2A, 低纹波",2,"给 ESP32 和功放供电","优先选充放电一体或可靠品牌模块",,,
P0,供电,主电源开关,"滑动/船型开关, 额定 >=2A",2,"整机开关","固定在电池仓或电子舱外侧",,,
P0,线材,硅胶电源线,"22AWG, 红黑",2m,"电池、5V、GND、功放供电","电源线不要用细杜邦线",,,
P0,线材,硅胶信号线,"26-28AWG, 多色",5m,"I2C/I2S/GPIO 信号","建议分色管理",,,
P0,连接器,JST 连接器套装,"2P/3P/4P/5P, PH/XH/SH 按模块选择",1套,"模块可插拔连接","替代松散杜邦线",,,
P0,绝缘,热缩管套装,"1-8mm 多规格",1套,"焊点绝缘、应力释放","所有焊点必须热缩保护",,,
P0,电容,大容量电解/固态电容,"470-1000uF, 耐压 >=6.3V",5,"抗 WiFi 电流尖峰","5V 输出端和主控附近",,,
P0,电容,陶瓷电容,"0.1uF/104",20,"高频去耦","传感器和主控供电近端",,,
P1,语音,I2S 数字麦克风,"INMP441 / SPH0645 类",2,"语音输入","外壳需预留拾音孔和防尘网",,,
P1,语音,I2S 数字功放,"MAX98357A 模块",2,"语音播放","比模拟功放更适合当前代码",,,
P1,语音,小喇叭,"4Ω 3W, 直径 28-40mm",2,"语音输出","外壳需开声孔",,,
P1,交互,录音按钮,"常开按钮, 带帽或防水按钮",3,"按住录音/松开上传","手柄处固定安装",,,
P1,结构,M2/M2.5 螺丝铜柱套装,"6-12mm 铜柱、螺丝、螺母",1套,"固定 PCB 和外壳","不要只用胶带",,,
P1,结构,3D 打印耗材,"PETG 优先, PLA 可先打样",1卷,"电子舱、电池仓、抱箍","PETG 更适合长期使用",,,
P1,结构,泡棉胶/橡胶垫/防尘网,"薄泡棉、橡胶垫、声孔防尘网",若干,"缓冲、防尘、防异响","抱箍内侧建议加橡胶垫",,,
P1,电阻,I2C 上拉电阻,"4.7kΩ",10,"SDA/SCL 上拉","模块已带上拉时可不装",,,
P2,监测,INA219/INA226 电流电压检测模块,"I2C 电流电压检测",1-2,"定位电源问题、记录功耗","调试阶段很有用",,,
P2,反馈,震动马达 + MOS 管模块,"3V/5V 扁平震动马达",2,"触觉提醒","跌倒/障碍/语音状态提示",,,
P2,显示,状态灯,"WS2812B 或普通 RGB LED",2,"联网/录音/低电量状态","便于调试和展示",,,
P2,保护,自恢复保险丝,"1-2A",3,"电池输出过流保护","串在主电源输出",,,
P2,整理,编织网管/扎带/线夹,"3-6mm",若干,"线束固定","防止拐杖晃动时拉扯焊点",,,
P3,定位,GPS/北斗模块,"UART GNSS 模块",1,"定位/求助功能","确认主功能稳定后再加",,,
P3,报警,有源蜂鸣器,"3.3V/5V",1,"异常报警","语音之外的兜底提示",,,
P3,工程化,定制 PCB 底板,"ESP32-S3、电源、连接器底板",1,"减少线束、提高可靠性","模块版跑稳后再做",,,
